ID,Created,Ticket ID,Duplicate,Alarm Date,Alarm Time,Alarm Date formatted,alarm_date_time,Alarm Date Time,Day of Alarm,Month of Alarm,Month of Alarm Text,Year of Alarm,Year Month of Alarm,Time of Alarm,ampm,Alarm Time formatted,Site Address ID,Site Name,State (from State),Responsible Party Short,Reason for Activation,Type of Activation,Location of Alarm,Retailer Responsible,Contractor Responsible,Shop Number,Area / Zone Description,AFA Code,Short Description (from AFA Codes),Chargeable (from AFA Codes)
1361,45546.50376,WF1361,,Sep 11 2024,10:05AM,11/09/2024,45546.42014,45546.42014,11,9,Sep,2024,2024-09,10:05:00 AM,am,10:05:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Planet Mino,,N/A,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1318,45534.52655,WF1318,,Aug 30 2024,10:37AM,30/08/2024,45534.44236,45534.44236,30,8,Aug,2024,2024-08,10:37:00 AM,am,10:37:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,General Public,General public accidental activation (e.g. Damaged sprinkler),Smoke/Thermal,Amenities / Parents Room,,,,,100 - An actual fire reported by the activation of an AFA detection or fire sprinkler system,An actual fire,
1313,45531.36469,WF1313,,Aug 28 2024,6:44AM,28/08/2024,45532.28056,45532.28056,28,8,Aug,2024,2024-08,6:44:00 AM,am,6:44:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Smoke/Thermal,Speciality Retail,Secret Sneaker,Youssef Chit,1001 A/B,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1291,45527.36462,WF1291,,Aug 23 2024,6:44PM,23/08/2024,2024-08-23 18:44 PM,23/08/2024 18:44 PM,23,8,Aug,2024,2024-08,6:44:00 AM,pm,6:44:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
1282,45525.29772,WF1282,,Aug 21 2024,5:08PM,21/08/2024,2024-08-21 17:08 PM,21/08/2024 17:08 PM,21,8,Aug,2024,2024-08,5:08:00 AM,pm,5:08:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,entrance of Orange P4 carpark to walkway lobby. ,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1248,45513.12758,WF1248,,7/08/2024,11:43PM,7/08/2024,2024-08-07 23:43 PM,07/08/2024 23:43 PM,7,8,Aug,2024,2024-08,11:43:00 AM,pm,11:43:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Smoke/Thermal,Common mall,,Moussa Dakdouk - Millennium Hi-Tech Cleaning,,AZF63,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1240,45510.08671,WF1240,,Aug  6 2024,12:04PM,6/08/2024,45510.50278,45510.50278,6,8,Aug,2024,2024-08,12:04:00 PM,pm,12:04:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Back of house,Sydney tower Dining ,,,B01 Tower kitchen area Toilet Corridor ,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1229,45508.39322,WF1229,,Aug  4 2024,7:25PM,4/08/2024,2024-08-04 19:25 PM,04/08/2024 19:25 PM,4,8,Aug,2024,2024-08,7:25:00 AM,pm,7:25:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
1178,45495.06083,WF1178,,Jul 22 2024,11:26PM,22/07/2024,2024-07-22 23:26 PM,22/07/2024 23:26 PM,22,7,Jul,2024,2024-07,11:26:00 AM,pm,11:26:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,My Health,,2505A,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1137,45479.44772,WF1137,,Jul  7 2024,8:44AM,7/07/2024,45480.36389,45480.36389,7,7,Jul,2024,2024-07,8:44:00 AM,am,8:44:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Common mall,Viet Viral,,,AZF 104,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1126,45474.15661,WF1126,,2/07/2024,01:44AM,2/07/2024,45475.07222,45475.07222,2,7,Jul,2024,2024-07,1:44:00 AM,am,1:44:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Please Select,Smoke/Thermal,Back of house,,,,First Choice Meats B.O.H entry,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1088,45466.47507,WF1088,,Jun 24 2024,9:23AM,24/06/2024,45467.39097,45467.39097,24,6,Jun,2024,2024-06,9:23:00 AM,am,9:23:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Roll'd,,5002,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1081,45465.11826,WF1081,,Jun 22 2024,12:49PM,22/06/2024,45465.53403,45465.53403,22,6,Jun,2024,2024-06,12:49:00 PM,pm,12:49:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,,,,,,,,,,,
1072,45463.35346,WF1072,,Jun 21 2024,6:28AM,21/06/2024,45464.26944,45464.26944,21,6,Jun,2024,2024-06,6:28:00 AM,am,6:28:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Break Glass,Common mall,,Aziz Alqas Ishak,,Zone 2,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
1071,45463.08157,WF1071,,Jun 20 2024,11:56PM,20/06/2024,2024-06-20 23:56 PM,20/06/2024 23:56 PM,20,6,Jun,2024,2024-06,11:56:00 AM,pm,11:56:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,Level 1 entry/exit green CP P3 in front of pacific smiles (2x smoke detector)s,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
1064,45461.41411,WF1064,,Jun 18 2024,7:55PM,18/06/2024,2024-06-18 19:55 PM,18/06/2024 19:55 PM,18,6,Jun,2024,2024-06,7:55:00 AM,pm,7:55:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,Male Toilets TK Maxx (Common Mall area) ,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
1053,45457.16736,WF1053,,14/06/2024,2:00:00 PM,14/06/2024,2024-06-14 14:00 PM,14/06/2024 14:00 PM,14,6,Jun,2024,2024-06,2:00:00 AM,pm,2:00:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Revo Fitness,,5001,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1050,45455.18778,WF1050,,Jun 12 2024,2:30PM,12/06/2024,2024-06-12 14:30 PM,12/06/2024 14:30 PM,12,6,Jun,2024,2024-06,2:30:00 AM,pm,2:30:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,General Public,General public accidental activation (e.g. Damaged sprinkler),Smoke/Thermal,Common mall,,,,Ground Male Toilet AZF#105,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1023,45444.24359,WF1023,,Jun  2 2024,3:50AM,2/06/2024,45445.15972,45445.15972,2,6,Jun,2024,2024-06,3:50:00 AM,am,3:50:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Speciality Retail,Rigs Brookvale (Swim Academy),,NIL,,706 - Council or water supply authority causes pressure fluctuation through water mains,Supply pressure fluctuation,
1022,45444.13314,WF1022,,2/06/2024,01:11AM,2/06/2024,45445.04931,45445.04931,2,6,Jun,2024,2024-06,1:11:00 AM,am,1:11:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Loading dock,,,,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
981,45433.28932,WF0981,,May 22 2024,4:56AM,22/05/2024,45434.20556,45434.20556,22,5,May,2024,2024-05,4:56:00 AM,am,4:56:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Back of house,,,,RO6 SKY TOURS PUMP ROOM,"707 - Alarm operated due to power surge/spike or short circuit, blackout",Power surge or blackout,
946,45429.23083,WF0946,,May 18 2024,3:31AM,18/05/2024,45430.14653,45430.14653,18,5,May,2024,2024-05,3:31:00 AM,am,3:31:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Coles,,coles,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
926,45422.38714,WF0926,,May 11 2024,7:16AM,11/05/2024,45423.30278,45423.30278,11,5,May,2024,2024-05,7:16:00 AM,am,7:16:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,outside three beans café,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
924,45422.38775,WF0924,,May 10 2024,7:17PM,10/05/2024,2024-05-10 19:17 PM,10/05/2024 19:17 PM,10,5,May,2024,2024-05,7:17:00 AM,pm,7:17:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Back of house,Coles,,,Coles back of house,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
920,45421.47039,WF0920,,9/05/2024,9:16PM,9/05/2024,2024-05-09 21:16 PM,09/05/2024 21:16 PM,9,5,May,2024,2024-05,9:16:00 AM,pm,9:16:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Flow Switch,Back of house,,Nathan Woods,,RO1 FLOW SWITCH FIRE STAIR 330,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
899,45412.39448,WF0899,,1/05/2024,07:27AM,1/05/2024,45413.31042,45413.31042,1,5,May,2024,2024-05,7:27:00 AM,am,7:27:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Smoke/Thermal,Back of house,,Alex Wachowicz,,Level 1 Zone 1 near Honnor Radio,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
891,45406.44174,WF0891,,Apr 25 2024,8:35AM,25/04/2024,45407.35764,45407.35764,25,4,Apr,2024,2024-04,8:35:00 AM,am,8:35:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Goelia,,2046,,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
885,45404.29484,WF0885,,Apr 22 2024,5:04PM,22/04/2024,2024-04-22 17:04 PM,22/04/2024 17:04 PM,22,4,Apr,2024,2024-04,5:04:00 AM,pm,5:04:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Kmart - ,,N/A,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
881,45400.3364,WF0881,,Apr 19 2024,6:03AM,19/04/2024,45401.25208,45401.25208,19,4,Apr,2024,2024-04,6:03:00 AM,am,6:03:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Valve room,,,,211,731 - Sprinkler suspected malfunction – eg loss of pressure and equipment faults,Sprinkler suspected malfunction,Yes
870,45395.40884,WF0870,,Apr 13 2024,7:48PM,13/04/2024,2024-04-13 19:48 PM,13/04/2024 19:48 PM,13,4,Apr,2024,2024-04,7:48:00 AM,pm,7:48:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Endota Spar ,,1076,,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
864,45394.10478,WF0864,,Apr 13 2024,12:30AM,13/04/2024,45395.02083,45395.02083,13,4,Apr,2024,2024-04,12:30:00 PM,am,12:30:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Poor maintenance,Pressure Switch,Valve room,,,,Zone C Valve Room #5,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
863,45394.52882,WF0863,,Apr 12 2024,10:40PM,12/04/2024,2024-04-12 22:40 PM,12/04/2024 22:40 PM,12,4,Apr,2024,2024-04,10:40:00 AM,pm,10:40:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Valve room,,,,Zone C Valve Room #5 pressure switch,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
849,45391.23067,WF0849,,Apr 10 2024,3:31AM,10/04/2024,45392.14653,45392.14653,10,4,Apr,2024,2024-04,3:31:00 AM,am,3:31:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Valve room,,,,"PWS INST 5.25 TK MAXX AZF 198, G Floor","702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
847,45391.17693,WF0847,,Apr 10 2024,2:14AM,10/04/2024,45392.09306,45392.09306,10,4,Apr,2024,2024-04,2:14:00 AM,am,2:14:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,merlin entertainments,,Shop 5007,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
843,45391.53407,WF0843,,Apr  9 2024,10:48AM,9/04/2024,45391.45,45391.45,9,4,Apr,2024,2024-04,10:48:00 AM,am,10:48:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Speciality Retail,Umma Kitchen,,5004,,706 - Council or water supply authority causes pressure fluctuation through water mains,Supply pressure fluctuation,
839,45389.41222,WF0839,,Apr  6 2024,10:00AM,6/04/2024,45388.41667,45388.41667,6,4,Apr,2024,2024-04,10:00:00 AM,am,10:00:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,,,,,,,,,,,
832,45387.47214,WF0832,,Apr  6 2024,10:19AM,6/04/2024,45388.42986,45388.42986,6,4,Apr,2024,2024-04,10:19:00 AM,am,10:19:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,110,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
829,45387.39808,WF0829,,Apr  6 2024,8:29AM,6/04/2024,45388.35347,45388.35347,6,4,Apr,2024,2024-04,8:29:00 AM,am,8:29:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,AZF 105,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
824,45387.10891,WF0824,,Apr  6 2024,1:36AM,6/04/2024,45388.06667,45388.06667,6,4,Apr,2024,2024-04,1:36:00 AM,am,1:36:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Break Glass,Common mall,,Unknown - Zedkon Contractor,,"Level 3, Zone 1, Near Market Street and Castlereagh Street Entry Shutter",762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
811,45382.2433,WF0811,,1/04/2024,04:49AM,1/04/2024,45383.20069,45383.20069,1,4,Apr,2024,2024-04,4:49:00 AM,am,4:49:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,"Retail level 5 Foodcourt, between Slims Burger and Din Tai Fung","702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
808,45380.24248,WF0808,,Mar 30 2024,4:48AM,30/03/2024,45381.2,45381.2,30,3,Mar,2024,2024-03,4:48:00 AM,am,4:48:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Valve room,,,,"Ground Floor, next to HCF, Valve room 5",706 - Council or water supply authority causes pressure fluctuation through water mains,Supply pressure fluctuation,
795,45373.51593,WF0795,,Mar 22 2024,11:22AM,22/03/2024,45373.47361,45373.47361,22,3,Mar,2024,2024-03,11:22:00 AM,am,11:22:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant, swim centre,,tbc,,"240 - Non-billable, 24-hour leniency rule for same ASE",Non-billable leniency rule,
792,45372.28981,WF0792,,Mar 22 2024,5:56AM,22/03/2024,45373.24722,45373.24722,22,3,Mar,2024,2024-03,5:56:00 AM,am,5:56:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,"Ground Floor, Zone A Between Samjon and Woolworths",765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
784,45371.13892,WF0784,,20/03/2024,2:19:00 PM,20/03/2024,2024-03-20 14:19 PM,20/03/2024 14:19 PM,20,3,Mar,2024,2024-03,2:19:00 AM,pm,2:19:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Woolworths,,1-1000F,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
783,45370.15684,WF0783,,Mar 19 2024,2:45PM,19/03/2024,2024-03-19 14:45 PM,19/03/2024 14:45 PM,19,3,Mar,2024,2024-03,2:45:00 AM,pm,2:45:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
752,45362.20953,WF0752,,Mar 11 2024,4:01PM,11/03/2024,2024-03-11 16:01 PM,11/03/2024 16:01 PM,11,3,Mar,2024,2024-03,4:01:00 AM,pm,4:01:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
746,45358.4941,WF0746,,Mar  7 2024,10:50PM,7/03/2024,2024-03-07 22:50 PM,07/03/2024 22:50 PM,7,3,Mar,2024,2024-03,10:50:00 AM,pm,10:50:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Babylon,,1-7002/4,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
742,45356.2492,WF0742,,5/03/2024,4:58PM,5/03/2024,2024-03-05 16:58 PM,05/03/2024 16:58 PM,5,3,Mar,2024,2024-03,4:58:00 AM,pm,4:58:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,External Event,"Extreme weather conditions (e.g. rain, storm, dust, lighting), rainwater leaking onto detector",Smoke/Thermal,Common mall,,,,Level 6 Atrium,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
737,45353.33282,WF0737,,3/03/2024,06:58AM,3/03/2024,45354.29028,45354.29028,3,3,Mar,2024,2024-03,6:58:00 AM,am,6:58:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Zara,,1015,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
726,45350.10649,WF0726,,Feb 29 2024,1:32AM,29/02/2024,45351.06389,45351.06389,29,2,Feb,2024,2024-02,1:32:00 AM,am,1:32:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Common mall,,,,Ground floor front of HCF,"707 - Alarm operated due to power surge/spike or short circuit, blackout",Power surge or blackout,
717,45347.21834,WF0717,,26/02/2024,4:13:00 AM,26/02/2024,45348.17569,45348.17569,26,2,Feb,2024,2024-02,4:13:00 AM,am,4:13:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Poor maintenance,Pressure Switch,Valve room,,,,AZF124,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance, etc (fault in system)",Alarm system suspected malfunction,Yes
716,45347.52447,WF0716,,Feb 25 2024,11:34PM,25/02/2024,2024-02-25 23:34 PM,25/02/2024 23:34 PM,25,2,Feb,2024,2024-02,11:34:00 AM,pm,11:34:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Other,Car Park,,,,,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
712,45346.14969,WF0712,,Feb 25 2024,2:35AM,25/02/2024,45347.10764,45347.10764,25,2,Feb,2024,2024-02,2:35:00 AM,am,2:35:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Major Tenant,Coles,,1000C,,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
693,45341.14207,WF0693,,Feb 19 2024,2:24PM,19/02/2024,2024-02-19 14:24 PM,19/02/2024 14:24 PM,19,2,Feb,2024,2024-02,2:24:00 AM,pm,2:24:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,General Public,General public accidental activation (e.g. Damaged sprinkler),Smoke/Thermal,Car Park,,,,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
687,45341.5187,WF0687,,Feb 19 2024,11:26AM,19/02/2024,45341.47639,45341.47639,19,2,Feb,2024,2024-02,11:26:00 AM,am,11:26:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Speciality Retail,Sushi Hub,,K501,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
668,45333.48995,WF0668,,Feb 11 2024,10:45PM,11/02/2024,2024-02-11 22:45 PM,11/02/2024 22:45 PM,11,2,Feb,2024,2024-02,10:45:00 AM,pm,10:45:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Dotti ,,1-1022,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
667,45333.41916,WF0667,,Feb 11 2024,9:03PM,11/02/2024,2024-02-11 21:03 PM,11/02/2024 21:03 PM,11,2,Feb,2024,2024-02,9:03:00 AM,pm,9:03:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
665,45332.38692,WF0665,,Feb 10 2024,8:16PM,10/02/2024,2024-02-10 20:16 PM,10/02/2024 20:16 PM,10,2,Feb,2024,2024-02,8:16:00 AM,pm,8:16:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,,,,,,,,,,,
658,45330.33284,WF0658,,Feb  9 2024,6:58AM,9/02/2024,45331.29028,45331.29028,9,2,Feb,2024,2024-02,6:58:00 AM,am,6:58:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Fendi,,4011,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
654,45330.23402,WF0654,,Feb  9 2024,4:36AM,9/02/2024,45331.19167,45331.19167,9,2,Feb,2024,2024-02,4:36:00 AM,am,4:36:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Pressure Switch,Major Tenant,TK max,,TBC,,731 - Sprinkler suspected malfunction – eg loss of pressure and equipment faults,Sprinkler suspected malfunction,Yes
652,45328.46534,WF0652,,7/02/2024,10:09AM,7/02/2024,45329.42292,45329.42292,7,2,Feb,2024,2024-02,10:09:00 AM,am,10:09:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Smoke/Thermal,Speciality Retail,Sunglass Hut,Dan Taylor,2023,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
645,45327.29902,WF0645,,Feb  6 2024,6:10AM,6/02/2024,45328.25694,45328.25694,6,2,Feb,2024,2024-02,6:10:00 AM,am,6:10:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,JBHIFI,,33239,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
644,45327.46255,WF0644,,Feb  5 2024,10:05PM,5/02/2024,2024-02-05 22:05 PM,05/02/2024 22:05 PM,5,2,Feb,2024,2024-02,10:05:00 AM,pm,10:05:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Shop K501 Shushi Hub,,K501,,"733 - Heat detector suspected malfunction – eg continuous or intermittent fault in detector, or FIP (defective apparatus)",Heat detector suspected malfunction,Yes
